LOSS_NAME,NEG_SET,POOLING_MODE,CONCAT,NUM_LABELS,CONF_THRESHOLD,BATCH_SIZE,EPOCHS,LR,RELU,DROPOUT,MARGIN,MAX_TEST_ACC,MAX_ZERO_ACC
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.2,2.0,1.0,0.866
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.5,2.0,1.0,0.789
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.5,2.0,1.0,0.875
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.5,2.0,0.9962,0.8435
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.5,2.0,0.9938,0.83
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.5,2.0,1.0,0.791
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.8,2.0,0.9988,0.822
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.8,2.0,0.9975,0.835
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.8,2.0,0.9988,0.8205
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.8,2.0,0.9962,0.842
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.8,2.0,0.9962,0.8375
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.0,5.0,1.0,0.826
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.0,5.0,1.0,0.871
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.0,5.0,1.0,0.8925
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.0,5.0,1.0,0.821
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.0,5.0,1.0,0.861
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.1,5.0,0.9988,0.9385
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.1,5.0,1.0,0.788
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.1,5.0,0.9988,0.85
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.1,5.0,1.0,0.846
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.1,5.0,0.9975,0.815
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.2,5.0,0.9975,0.778
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.2,5.0,1.0,0.834
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.2,5.0,1.0,0.7795
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.2,5.0,1.0,0.8315
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.2,5.0,1.0,0.9075
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.5,5.0,1.0,0.9165
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.5,5.0,1.0,0.8445
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.5,5.0,0.9988,0.795
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.5,5.0,0.9912,0.8055
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.5,5.0,1.0,0.7575
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.8,5.0,0.9975,0.815
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.8,5.0,1.0,0.854
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.8,5.0,0.9975,0.796
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.8,5.0,0.9962,0.8775
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.8,5.0,0.9988,0.868
